Topic,Values
0,bharat,scheme,thumb,say,modi,impressed,get,official,namo,health
1,modi,journal,prime,minister,say,british,prioritise,universal,healthcare,lancet
2,bharat,modi,scheme,health,world,healthcare,impressed,say,flagship,organisation
3,bharat,modi,scheme,praise,journal,healthcare,medical,prestigious,world,lancet
4,awas,modi,healthcare,say,journal,govt,minister,universal,indians,prioritise
5,bharat,health,modi,world,modicare,general,praise,director,centre,journal
6,toilets,bharat,india,government,karishma,karnal,beneficiary,child,little,haryana
7,ayushmanbharat,girl,claim,bear,hospital,kalpana,chawla,baby,section,caesarean
8,rural,connection,provide,yojana,electrification,cook,foodgrain,roads,like,global
9,bharat,beneficiary,haryana,india,girl,yojana,newborn,centre,karishma,namo
